Time	Date	Comp Inlet Press	Comp Exit Press	Turb Inlet Press	Turb Exit Press	Noss Exit Press	Fuel Flow	RPM	Thrust	Comp Inlet	Comp Exit Temp	Turb Inlet Temp	Turb Exit Temp	EGT	
		PSIG	PSIG	PSIG	PSIG	PSIG	Gal/Hour	RPM	Lbs.	°C	°C	°C	°C	°C	
10:38:52	3/8/2016	-3.467100e-003	-1.703554e-001	-1.545367e-001	 4.764724e-002	 1.700526e-002	 9.261304e-003	-2.695900e+001	-1.876311e-001	 3.026043e+001	 3.040495e+001	 3.835287e+001	 4.988783e+001	 3.102561e+001	
10:38:54	3/8/2016	-3.480509e-003	-1.712090e-001	-1.534396e-001	 4.751921e-002	 1.702964e-002	 9.735346e-003	-2.728815e+001	-2.605988e-001	 3.028495e+001	 3.039598e+001	 3.832873e+001	 4.989068e+001	 3.071439e+001	
10:38:57	3/8/2016	-3.490262e-003	-1.694414e-001	-1.525253e-001	 4.758018e-002	 1.692605e-002	 9.515877e-003	-2.706872e+001	-2.605988e-001	 3.026653e+001	 3.033757e+001	 3.826702e+001	 4.983562e+001	 3.060390e+001	
10:39:00	3/8/2016	-3.492700e-003	-1.708433e-001	-1.529518e-001	 4.759848e-002	 1.698697e-002	 9.796715e-003	-2.706872e+001	-2.084790e-001	 3.028393e+001	 3.035123e+001	 3.827510e+001	 4.982001e+001	 3.061183e+001	
10:39:03	3/8/2016	-3.487824e-003	-1.705992e-001	-1.525253e-001	 4.763502e-002	 1.710284e-002	 9.691487e-003	-2.684929e+001	-2.084790e-001	 3.027922e+001	 3.033713e+001	 3.823877e+001	 4.979482e+001	 3.060075e+001	
10:39:06	3/8/2016	-3.485385e-003	-1.681006e-001	-1.523423e-001	 4.763502e-002	 1.716375e-002	 9.893361e-003	-2.717843e+001	-2.084790e-001	 3.024325e+001	 3.027750e+001	 3.819215e+001	 4.977616e+001	 3.058934e+001	
10:39:09	3/8/2016	-3.491481e-003	-1.712090e-001	-1.524031e-001	 4.806781e-002	 1.732218e-002	 1.007764e-002	-2.728815e+001	-2.293269e-001	 3.027229e+001	 3.031441e+001	 3.821494e+001	 4.978288e+001	 3.063154e+001	
10:39:11	3/8/2016	-3.503672e-003	-1.694414e-001	-1.509404e-001	 4.804337e-002	 1.741368e-002	 1.042877e-002	-2.695900e+001	-1.876311e-001	 3.026086e+001	 3.025842e+001	 3.815838e+001	 4.973200e+001	 3.059040e+001	
10:39:14	3/8/2016	-3.498796e-003	-1.709652e-001	-1.528299e-001	 4.778135e-002	 1.741368e-002	 1.030586e-002	-2.717843e+001	-2.189030e-001	 3.028659e+001	 3.026562e+001	 3.815623e+001	 4.974055e+001	 3.054202e+001	
